Year,Month,Date,CPI,Food,Rent,Clothing & Footwear,Tobacco & Liqour,Fuel & Power,"Household, Goods, Services and Suplies",Transport & Foreign Travel,"Education, Recreation, Entertain & Reading",Health & Personal Care
2006,Jan,1/1/06,2.60,3.00,2.90,2.40,2.30,8.00,1.40,2.30,3.90,0.60
2006,Feb,2/1/06,2.70,2.50,3.10,2.70,2.30,8.50,1.40,4.20,3.90,0.60
2006,Mar,3/1/06,2.70,2.70,3.40,2.70,2.40,8.60,1.40,3.20,3.30,0.40
2006,Apr,4/1/06,3.50,2.20,3.40,2.70,2.80,8.20,1.40,4.00,3.30,7.70
2006,May,5/1/06,2.70,1.40,3.50,2.70,1.30,8.20,1.50,-0.30,3.20,7.50
2006,Jun,6/1/06,3.60,2.20,3.50,2.80,0.80,13.50,1.50,4.80,3.20,7.50
2006,Jul,7/1/06,3.50,1.80,3.70,7.30,1.40,13.40,1.60,1.80,3.00,7.50
2006,Aug,8/1/06,3.40,1.40,4.40,1.10,2.20,16.50,1.30,-0.60,4.20,7.70
2006,Sep,9/1/06,3.10,1.20,4.60,1.30,2.60,16.50,1.10,-1.80,3.20,7.70
2006,Oct,10/1/06,2.70,1.20,4.50,4.10,2.50,11.20,1.00,-4.20,4.30,6.80
2006,Nov,11/1/06,2.70,1.70,4.30,4.10,2.40,-0.40,1.00,-2.60,4.40,6.80
2006,Dec,12/1/06,3.30,1.50,4.40,4.10,2.10,-0.90,1.00,2.60,4.50,6.80
2007,Jan,1/1/07,2.80,2.30,4.10,1.30,2.40,-2.20,1.00,-0.20,4.40,7.00
2007,Feb,2/1/07,3.20,3.20,3.60,1.30,2.40,-3.20,1.00,2.20,4.70,7.00
2007,Mar,3/1/07,3.60,3.00,3.40,0.60,2.20,-3.90,1.00,5.80,4.90,7.20
2007,Apr,4/1/07,3.00,3.80,3.10,1.20,2.20,-3.80,2.40,0.80,4.90,7.00
2007,May,5/1/07,4.40,3.90,2.90,1.20,2.10,3.60,2.30,10.00,5.20,7.20
2007,Jun,6/1/07,4.00,3.80,2.90,1.10,2.20,3.50,2.70,5.80,5.30,6.80
2007,Jul,7/1/07,4.40,4.10,2.70,3.00,1.60,3.40,2.70,9.10,5.30,6.80
2007,Aug,8/1/07,4.00,3.60,1.80,3.00,1.20,5.20,2.70,8.80,4.30,6.60
2007,Sep,9/1/07,3.60,3.80,1.80,3.10,0.90,6.10,2.70,7.00,4.50,6.60
2007,Oct,10/1/07,4.40,3.90,1.90,-4.70,0.90,8.40,2.60,12.80,4.50,6.70
2007,Nov,11/1/07,4.70,3.80,1.90,-4.50,1.60,22.30,2.60,13.60,4.50,6.70
2007,Dec,12/1/07,3.70,3.10,1.90,-4.50,3.10,27.90,2.60,4.20,4.30,6.50
2008,Jan,1/1/08,4.00,3.60,2.00,-2.40,3.80,27.80,2.60,5.00,4.30,6.30
2008,Feb,2/1/08,3.50,3.30,2.10,-2.40,3.70,32.20,2.70,0.70,3.90,6.30
2008,Mar,3/1/08,4.20,3.60,1.80,-2.40,6.50,34.70,2.70,4.60,4.30,6.30
2008,Apr,4/1/08,5.40,4.00,2.30,3.90,9.20,34.50,2.10,10.90,4.60,6.40
2008,May,5/1/08,4.70,4.50,2.50,3.90,10.30,27.50,2.00,5.70,4.60,6.30
2008,Jun,6/1/08,4.50,4.90,2.50,3.90,10.70,22.50,2.10,4.10,4.30,6.50
2008,Jul,7/1/08,4.60,5.00,2.50,1.40,10.70,30.80,2.80,3.10,4.40,6.70
2008,Aug,8/1/08,4.90,6.60,2.80,1.40,10.80,25.10,3.30,5.00,4.20,6.50
2008,Sep,9/1/08,5.90,6.20,2.60,1.40,11.30,40.50,3.20,6.60,5.90,6.90
2008,Oct,10/1/08,5.50,8.00,2.60,8.00,11.50,40.50,3.30,1.00,6.50,7.00
2008,Nov,11/1/08,5.10,8.20,2.50,7.70,11.90,38.10,3.30,-1.50,6.90,7.00
2008,Dec,12/1/08,4.90,9.10,2.60,7.70,11.10,27.40,0.50,0.40,7.00,7.00
2009,Jan,1/1/09,5.00,8.40,2.60,7.10,10.70,24.60,0.80,3.20,7.10,7.00
